iteration,elapsed_seconds,cave_volume_fraction,void_voxel_count,porous_voxel_count,mean_porosity,mean_solid_fraction,mean_effective_permeability,max_effective_permeability,mean_water_flux,max_water_flux,connected_components,largest_component_size
1,0.0449,0.0,0,0,0.057718339890274264,0.9704029589145887,0.11238782189977918,0.20422399894699614,0.004487698035032317,0.05298770947257957,0,0
2,0.0749,0.0,0,0,0.05846250233225508,0.9692867152516172,0.11285436097677091,0.20539774644383407,0.004514845303095695,0.05322903140632677,0,0
3,0.1041,0.0,0,0,0.05921303710848945,0.9681609130872658,0.11332506407373444,0.20911265104723747,0.004542317235033938,0.05347145239259553,0,0
4,0.1321,0.0,0,0,0.0599700264115437,0.9670254291326845,0.11379998554723413,0.2162663777714701,0.004570118424500405,0.05371497743680094,0,0
5,0.1636,0.0,0,0,0.060733553611554164,0.965880138332669,0.11427918053611487,0.22361430722248243,0.0045982535346098885,0.05395961156715421,0,0
6,0.1943,0.0,0,0,0.061503703274008524,0.9647249138389873,0.11476270497337802,0.2311605755363975,0.00462672729883724,0.05420535983476657,0,0
7,0.2227,0.0,0,0,0.062280561177760894,0.9635596269833585,0.11525061559821441,0.23890939464989092,0.004655544521928106,0.054452227313753536,0,0
8,0.258,0.0,0,0,0.06306421433328407,0.9623841472500737,0.11574296996819612,0.2468650536949333,0.004684710080822014,0.05470021910133962,0,0
9,0.2918,0.0,0,0,0.06385475100116197,0.9611983422482572,0.11623982647163013,0.2550319204138225,0.00471422892558804,0.05494934031796368,0,0
10,0.322,0.0,0,0,0.0646522607108256,0.9600020776837614,0.11674124434007467,0.26341444259483704,0.004744106080373326,0.05519959610738455,0,0
11,0.3501,0.0,0,0,0.06545683427953596,0.9587952173306961,0.1172472836610217,0.272017149528847,0.004774346644364609,0.055450991636787315,0,0
12,0.3782,0.0,0,2,0.06626856383161735,0.9575776230025739,0.11775800539074742,0.2808446534872276,0.004804955792763052,0.055703532096889954,0,0
13,0.4103,0.0,0,13,0.06708754281794432,0.9563491545230833,0.11827347136733264,0.2899016512214255,0.00483593877777254,0.055957222702050516,0,0
14,0.4398,0.0,0,45,0.06791386603568596,0.955109669696471,0.11879374432385634,0.2991929254845352,0.004867300929601669,0.056212068690374845,0,0
15,0.4679,0.0,0,119,0.06874762964831103,0.9538590242775334,0.11931888790176393,0.30872334657524675,0.004899047657479656,0.05646807532382466,0,0
16,0.4969,0.0,0,220,0.06958893120585767,0.9525970719412135,0.11984896666441304,0.318497873904533,0.004931184450686337,0.05672524788832625,0,0
17,0.5292,0.0,0,319,0.07043786966547093,0.9513236642517935,0.12038404611079934,0.32852155758544754,0.004963716879596484,0.05698359169387958,0,0
18,0.5579,0.0,0,461,0.07129454541221246,0.9500386506316814,0.12092419268946472,0.33879954004640944,0.0049966505967386264,0.05724311207466797,0,0
19,0.5859,0.0,0,589,0.0721590602801456,0.9487418783297816,0.12146947381259052,0.3493370576683566,0.005029991337868591,0.0575038143891682,0,0
20,0.6145,0.0,0,699,0.07303151757369986,0.9474331923894501,0.12201995787027807,0.36013944244615065,0.005063744923057928,0.05776570402026114,0,0
21,1.8682,0.0,0,829,0.07391202208931871,0.946112435616022,0.12257571424501962,0.3713533178377426,0.005097917257797465,0.058028786375342985,0,0
