anastomosis_count,branch_persistence_diameters_median,branch_persistence_length_median_m,breakout_event_count,centerline_displacement_mean_m,centerline_displacement_mean_passage_widths,centerline_displacement_p95_m,chamber_count,coalescence_flux_return_ratio,condition_id,connected_component_count,cyclomatic_number,distinct_z_level_count,edge_count,elapsed_s,emplacement_phase_count,entries_without_exit_path_count,experiment_name,experiment_schema_version,failure_reason,git_commit,git_dirty,independent_braid_or_island_count,input_dataset_id,input_dataset_sha256_or_version,lava_age_monotonicity_violation_count,length_weighted_mean_sinuosity,lobe_path_count,main_route_length_m,max_absolute_flux_conservation_residual,max_branch_factor,max_relative_flux_conservation_residual,mean_branch_factor,mean_branch_flux_fraction,mean_breakout_score,merge_junction_count,model_schema_version,network_density,node_count,platform,process_chamber_segment_count,provenance_sha256,python_version,resolved_config_sha256,retired_lobe_count,routing_enabled,run_id,seed,sinuosity_p95,source_count,source_unreachable_node_count,split_junction_count,split_merge_nodes_exceeding_tolerance,split_merge_region_count,stacked_segment_count,started_at_utc,status,temperature_monotonicity_violation_count,terminal_count,total_centerline_length_m,underpass_count,vertical_capture_count,vertically_overlapping_xy_passage_count,zero_flux_segment_count
12,10.684729803872994,100.63921219247538,12,4.793130694855101,0.50247888041526,23.536241682238742,14,0.639693241001191,no_fracture,1,13,3,65,27.883008823991986,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,12,,,0,1.0548823122265965,12,5424.5870741204035,4.440892098500626e-16,2,2.1046820807533435e-16,2.0,0.3515154769381115,3.328282121630958,19,1,3.0,53,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,7,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,e252370b33222bf1bfb22ee3861d993f9c4ac30ec674e931fc0470d699b0d3ba,2,True,seed-000001-no_fracture,1,1.1450386439775575,8,0,15,0,22,6,2026-09-07T09:07:34.962829+00:00,complete,0,11,9581.301087502025,0,5,15,0
10,9.308753870777469,90.68691190443617,9,3.2069529788557625,0.3361949099550979,10.676470917242806,10,0.637720263920688,no_slope,1,15,3,58,28.25099347901414,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,9,,,0,1.0559265849902946,9,5485.304622931443,4.440892098500626e-16,2,2.329490548033006e-16,2.0,0.35027091430879137,3.8633765406274096,20,1,3.0,44,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,cbab55f2c1f3ca406c21f3b08c2dab906f15fb8e1916d0d3d7a33ab17bac7f3b,2,True,seed-000001-no_slope,1,1.128284227642353,8,0,16,0,18,6,2026-09-07T09:06:38.811573+00:00,complete,0,10,9327.094167590305,0,6,16,0
11,10.043653279281562,99.9222866660628,11,3.1423559107707373,0.32942299729177066,10.017326769278045,14,0.6298386895591298,no_stability,1,16,3,67,28.421353233017726,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,11,,,0,1.0646795814893215,11,5491.915484083377,8.881784197001252e-16,2,2.3088748478394653e-16,2.0,0.3532129536888103,3.4119496597096943,21,1,3.0,52,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,ab11824af592b391bf0a009d0e9e43d77e6d58d2e4680fdebf1e32719d4dd0d0,2,True,seed-000001-no_stability,1,1.1506413008170526,8,0,18,0,20,5,2026-09-07T09:08:30.788762+00:00,complete,0,11,9579.408909164284,0,4,14,0
10,11.772203468833546,100.10786861953365,10,8.271947719196676,0.8671741484656433,42.90133679409113,10,0.6299634882574829,unconditioned,1,10,3,49,28.018637936998857,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,10,,,0,1.0588532427917745,10,5467.66498147725,1.7763568394002505e-15,2,2.248019324582165e-16,2.0,0.34898900332614724,3.2775370269210478,15,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,42f4c0fc17c40532ca9d9ad32d6ec5137dcfb13b2817f679efca7efd3ee4d25b,2,False,seed-000001-unconditioned,1,1.1564260633041001,8,0,12,0,18,8,2026-09-07T09:08:59.210157+00:00,complete,0,11,9593.649371881758,0,7,20,0
9,9.38741343065844,93.8741343065844,9,0.0,0.0,0.0,12,0.5971910936038702,full,1,13,2,54,27.955790197011083,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,9,,,0,1.0302425684559222,9,5275.560873886051,8.881784197001252e-16,2,2.1442505272354787e-16,2.0,0.38281187685253903,3.555492558494784,17,1,3.0,42,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,61d9106c5c3b498e53e0664147a0ebe10240b74581b66648cd57d60a37e84a68,1,True,seed-000002-full,2,1.150140350145824,8,0,14,0,18,6,2026-09-07T09:06:10.945066+00:00,complete,0,10,8895.722894025488,0,6,18,0
10,9.126065922696206,91.26065922696208,12,2.626445881499141,0.27543097105211567,13.972455536490992,8,0.6255768355793596,no_capacity,1,14,2,59,28.52679829898989,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,12,,,0,1.0288692409613336,12,5348.9938488007165,1.7763568394002505e-15,2,2.243973172192741e-16,2.0,0.3062650387323273,3.6623004020404317,18,1,3.0,46,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,7dbe78331bef54a9cfa1ec80988138f63d68e228365a1c0725515a3f3790d38c,3,True,seed-000002-no_capacity,2,1.1619305544971021,8,0,17,0,20,6,2026-09-07T09:08:03.603538+00:00,complete,0,12,9380.933021090677,0,4,16,0
8,10.786924312951792,91.50869590698034,10,3.545352740830309,0.37179519098706815,11.736206294164523,10,0.480775137112664,no_cover,1,12,2,55,28.28512577697984,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,10,,,0,1.0342416368409095,10,5285.376510937391,8.881784197001252e-16,2,2.5754482394140897e-16,2.0,0.3652523628016164,3.3543043710832117,17,1,3.0,44,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,4707e2588fe908475ff9288353605e83f998fb7efa713d367c00d4baf9cb7851,3,True,seed-000002-no_cover,2,1.1171510221765397,8,0,15,0,15,7,2026-09-07T09:07:07.302470+00:00,complete,0,12,9281.0400884026,0,6,18,0
9,8.846489820763718,88.46489820763719,9,4.7699623613619355,0.5002179463610585,22.469820749625338,12,0.5995834822551376,no_fracture,1,11,2,52,28.01586608099751,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,9,,,0,1.0468174579078429,9,5302.765659925033,8.881784197001252e-16,2,3.169623219807715e-16,2.0,0.4054301023254874,3.10516843403531,16,1,3.0,42,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,7,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,31d08df5e6a1ebf52022657b3cc0edc3316f150081e350bed90c8bb31e4293a6,2,True,seed-000002-no_fracture,2,1.1316303962525118,8,0,13,0,16,7,2026-09-07T09:07:35.587629+00:00,complete,0,11,8980.754118306919,0,6,18,0
13,9.699914713145192,96.99914713145192,11,4.139444817687536,0.43409662989193354,18.633591041412725,12,0.72,no_slope,1,18,2,68,28.401434667990543,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,11,,,0,1.0553284012585646,11,5385.091103624703,8.881784197001252e-16,2,1.110223024625157e-16,2.0,0.32083073082350355,3.318950820167825,23,1,3.0,51,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,7,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,2134eff7db83622f50008da891e4e618140116ebb9c0d26909461577d3923039,0,True,seed-000002-no_slope,2,1.1960418343675203,8,0,18,0,24,8,2026-09-07T09:06:38.900997+00:00,complete,0,9,9130.264195894286,0,8,20,0
12,9.023149207054391,90.23045156134182,11,2.533091088083485,0.2656410105644595,12.107433300596277,10,0.7193835109602728,no_stability,1,15,2,59,28.284377239004243,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,11,,,0,1.0590900737812274,11,5382.113796624175,8.881784197001252e-16,2,2.082089113801538e-16,2.0,0.3653305870500899,3.7424438195584218,19,1,3.0,45,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,4,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,6e671f7d3bce3d4babd793ac42353ad1bf957f56e12f26783f181daadf3663d9,1,True,seed-000002-no_stability,2,1.268662483246762,8,0,16,0,21,8,2026-09-07T09:08:32.130381+00:00,complete,0,10,9211.636423796637,0,7,19,0
