condition_id,elapsed_s,events_off_host_equal,events_off_network_equal,events_off_sections_equal,experiment_name,experiment_schema_version,export_changed_host_equal,export_changed_network_equal,export_changed_sections_equal,failure_reason,git_commit,git_dirty,input_dataset_id,input_dataset_sha256_or_version,model_schema_version,platform,provenance_sha256,python_version,resolved_config_sha256,resume_checkpoint_reused,resume_sections_equal,run_id,same_run_host_equal,same_run_network_equal,same_run_sections_equal,seed,started_at_utc,status
same_config_events_export_resume,61.549578719976125,True,True,True,determinism,1,True,True,True,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,1,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,99440afce04c092de7497069137e444d8ff5d8575d1e08829218e3cd0f6ed608,3.13.5,e498b4a4db8363c457b199bb5cfd0ce034350d0147db2a77c6a1bf205d391d88,True,True,seed-000000-isolation,True,True,True,0,2026-09-07T12:08:48.997644+00:00,complete
same_config_events_export_resume,44.64017647202127,True,True,True,determinism,1,True,True,True,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,1,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,99440afce04c092de7497069137e444d8ff5d8575d1e08829218e3cd0f6ed608,3.13.5,332adf21233604713706828088379e87b32d3ecd65bbe71dc42f55aa055030f3,True,True,seed-000001-isolation,True,True,True,1,2026-09-07T12:08:48.997674+00:00,complete
same_config_events_export_resume,54.872720140003366,True,True,True,determinism,1,True,True,True,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,1,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,99440afce04c092de7497069137e444d8ff5d8575d1e08829218e3cd0f6ed608,3.13.5,6690ade40e824616df56a070e39d1e70d7906ff5574e95285e48d3e78645da3b,True,True,seed-000002-isolation,True,True,True,2,2026-09-07T12:08:48.997759+00:00,complete
