anastomosis_count,branch_persistence_diameters_median,branch_persistence_length_median_m,breakout_event_count,chamber_count,coalescence_flux_return_ratio,condition_id,connected_component_count,control,control_value,cyclomatic_number,distinct_z_level_count,edge_count,elapsed_s,emplacement_phase_count,entries_without_exit_path_count,experiment_name,experiment_schema_version,failure_reason,git_commit,git_dirty,host_horizontal_scale,independent_braid_or_island_count,input_dataset_id,input_dataset_sha256_or_version,junction_to_passage_width_ratio,lava_age_monotonicity_violation_count,length_weighted_mean_sinuosity,lobe_path_count,main_route_length_m,max_absolute_flux_conservation_residual,max_branch_factor,max_relative_flux_conservation_residual,mean_branch_factor,mean_branch_flux_fraction,mean_breakout_score,merge_junction_count,model_schema_version,network_density,node_count,platform,process_chamber_segment_count,provenance_sha256,python_version,resolved_config_sha256,retired_lobe_count,run_id,seed,sinuosity_p95,source_count,source_unreachable_node_count,split_junction_count,split_merge_nodes_exceeding_tolerance,split_merge_region_count,stacked_segment_count,started_at_utc,status,temperature_monotonicity_violation_count,terminal_count,total_centerline_length_m,underpass_count,vertical_capture_count,vertically_overlapping_xy_passage_count,zero_flux_segment_count
10,9.660893368779192,91.92567432431849,17,5,0.4257721535771367,supply=1.000,1,supply,1.0,10,3,62,27.878712258010637,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,17,,,,0,1.044101447957421,17,5202.010650722368,1.7763568394002505e-15,2,2.2342058502643614e-16,2.0,0.3518272160951497,3.8842587338852845,15,1,3.0,53,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,1,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,6797177345f1572427291f691beae44b45f3fd995af9ce651c651fa49629d803,10,seed-000000-supply-1.000,0,1.165058096906098,8,0,19,0,19,8,2026-09-07T11:11:52.312766+00:00,complete,0,18,12258.343435861369,0,3,19,0
10,8.94800619481035,87.87907600717509,13,11,0.4850827104418819,supply=1.300,1,supply,1.3,12,2,60,33.24835253797937,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.140175425099138,13,,,,0,1.0330552024372823,13,4908.896246219476,1.7763568394002505e-15,2,3.0967165144742187e-16,2.0,0.4441746448606953,4.02626589642296,17,1,3.0,49,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,bb7903329fe523271b9549abc4c62e046137f5d49dd9987b8e76ba03f3bc5d1b,5,seed-000000-supply-1.300,0,1.170604178805368,8,0,17,0,18,5,2026-09-07T11:12:02.370828+00:00,complete,0,14,10616.645538971195,0,4,15,0
10,9.003231999039293,88.16163996849816,10,13,0.6497221649230207,distributary=0.200,1,distributary,0.2,13,3,52,27.989320489985403,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,10,,,,0,1.054220156988682,10,5420.501019985157,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.3551305453497115,3.5672346377107806,18,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,310dcd0e1c6762e8c3d021651fb404721982f05c152b0fe2958d08f0b5249546,1,seed-000001-distributary-0.200,1,1.15241366842196,8,0,14,0,19,4,2026-09-07T11:12:15.832317+00:00,complete,0,10,9391.938791997534,0,4,12,0
10,9.003231999039293,88.16163996849816,10,13,0.6497221649230207,distributary=0.500,1,distributary,0.5,13,3,52,27.699349505011924,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,10,,,,0,1.054220156988682,10,5420.501019985157,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.3551305453497115,3.5672346377107806,18,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,e2e32d2a85767a220e13e15414f11ffb5e036ab4b999968193ccb0c7aa7f5817,1,seed-000001-distributary-0.500,1,1.15241366842196,8,0,14,0,19,4,2026-09-07T11:12:20.191656+00:00,complete,0,10,9391.938791997534,0,4,12,0
10,9.003231999039293,88.16163996849816,10,13,0.6497221649230207,distributary=0.800,1,distributary,0.8,13,3,52,28.10367710000719,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,10,,,,0,1.054220156988682,10,5420.501019985157,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.3551305453497115,3.5672346377107806,18,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,dd07d3c73bdbb91f8e7ad512bd1e8194c56326f689bd0bc36e2093114eaf2f9d,1,seed-000001-distributary-0.800,1,1.15241366842196,8,0,14,0,19,4,2026-09-07T11:12:21.979237+00:00,complete,0,10,9391.938791997534,0,4,12,0
11,9.478608999673193,92.97110995794102,15,8,0.5291044649621363,duration=0.500,1,duration,0.5,10,3,54,27.391423497989308,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,15,,,,0,1.0433459558939355,15,2635.2499335773255,8.881784197001252e-16,2,2.241768500151669e-16,2.0,0.3048342824356685,3.8526655655361846,14,1,3.0,45,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,28e5764c112ccb710a4cf474dd33bf616d3a1a8ba5b95bf763236d168a910108,6,seed-000001-duration-0.500,1,1.1637643520040144,8,0,16,0,19,6,2026-09-07T11:12:22.021895+00:00,complete,0,15,6205.2199805576565,0,3,15,0
10,9.003231999039293,88.16163996849816,10,13,0.6497221649230207,duration=1.000,1,duration,1.0,13,3,52,27.77970403400832,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,10,,,,0,1.054220156988682,10,5420.501019985157,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.3551305453497115,3.5672346377107806,18,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,b2fbc14729363b3eba396fd33ebdcd0a19c6055d1a9ea1837249e668636fac56,1,seed-000001-duration-1.000,1,1.15241366842196,8,0,14,0,19,4,2026-09-07T11:12:22.322223+00:00,complete,0,10,9391.938791997534,0,4,12,0
8,9.681875440656299,87.66225438714525,11,10,0.4104417768991442,duration=1.500,1,duration,1.5,17,3,72,38.510285300028045,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,11,,,,0,1.0243833331851275,11,4523.891881164044,8.881784197001252e-16,3,2.455071151898198e-16,2.0476190476190474,0.37020165824647383,4.288589861109981,22,1,3.0,56,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,fa653fce4c9d1dd9e6a24c063aa361f659c5685a2e5f260085f6a1f1f3ffd534,5,seed-000001-duration-1.500,1,1.0955096365526935,8,0,21,0,14,4,2026-09-07T11:12:35.619347+00:00,complete,0,14,10081.881611197134,0,3,11,0
9,9.243972159392657,85.66377660944413,10,9,0.5415266583740596,inflation=0.200,1,inflation,0.2,11,3,51,30.123105887993006,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,10,,,1.3128043110936307,0,1.0514095773914707,10,5378.54949807592,4.440892098500626e-16,2,2.3736205596982693e-16,2.0,0.3686951570680161,3.746773626065386,16,1,3.0,41,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,26e9a2a57007f76f203f05e85c292459b10a6e01a1cb0f4be47049d3670f65e3,3,seed-000001-inflation-0.200,1,1.1381968747652917,8,0,14,0,14,5,2026-09-07T11:12:43.821801+00:00,complete,0,12,9603.563785239774,0,4,13,0
10,9.003231999039293,88.16163996849816,10,13,0.6497221649230207,inflation=0.500,1,inflation,0.5,13,3,52,29.97139062298811,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,10,,,1.349192156256951,0,1.054220156988682,10,5420.501019985157,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.3551305453497115,3.5672346377107806,18,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,b2fbc14729363b3eba396fd33ebdcd0a19c6055d1a9ea1837249e668636fac56,1,seed-000001-inflation-0.500,1,1.15241366842196,8,0,14,0,19,4,2026-09-07T11:12:47.891150+00:00,complete,0,10,9391.938791997534,0,4,12,0
