all_collisions_present,all_targets_present,canonical_scene_hash,condition_id,elapsed_s,experiment_name,experiment_schema_version,failure_reason,git_commit,git_dirty,input_dataset_id,input_dataset_sha256_or_version,model_schema_version,platform,provenance_sha256,python_version,resolved_config_sha256,run_id,seed,started_at_utc,status
True,True,684167f3ba195d28b4d83ba1c15f3efc08486f1804b0e4a59d523751b04f7d53,all_targets,407.9242529619951,export_consistency,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,1,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,c964a1977580eb4332d41723bf01a6c367b5683fb781a744948bd042fafdd1cb,3.13.5,e498b4a4db8363c457b199bb5cfd0ce034350d0147db2a77c6a1bf205d391d88,seed-000000-all-targets,0,2026-09-07T11:35:56.625460+00:00,complete
True,True,a3d34124808c36b1980861b5cb2f350fa64f0bd93c9f3fa38bb02baaaa21e91b,all_targets,354.9423283460201,export_consistency,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,1,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,c964a1977580eb4332d41723bf01a6c367b5683fb781a744948bd042fafdd1cb,3.13.5,332adf21233604713706828088379e87b32d3ecd65bbe71dc42f55aa055030f3,seed-000001-all-targets,1,2026-09-07T11:42:44.552216+00:00,complete
True,True,484ae68673b58416d1f4f4d4af479c6c0e5c479c407db8d2f8d173a4692c85ed,all_targets,430.3152117099962,export_consistency,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,1,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,c964a1977580eb4332d41723bf01a6c367b5683fb781a744948bd042fafdd1cb,3.13.5,6690ade40e824616df56a070e39d1e70d7906ff5574e95285e48d3e78645da3b,seed-000002-all-targets,2,2026-09-07T11:48:39.499070+00:00,complete
